kasiguraduhan	k a s i ɡ u ɾ a d u h a n
kasikatan	k a s i k a t a n
kasili	k a s i l i
kasilonawan	k a s i l o n a w a n
kasilyas	k a s i l j a s
kasim	k a s i m
kasimbuti	k a s i m b u t i
kasingkahulugan	k a s i ŋ k a h u l u ɡ a n
kasiningan	k a s i n i ŋ a n
kasinlaki	k a s i n l a k i
kasinluwat	k a s i n l u a t
kasino	k a s i n o
kasintahan	k a s i n t a h a n
kasinungalingan	k a s i n u ŋ a l i ŋ a n
kasinway	k a s i n w a j
kasinwayin	k a s i n w a j i n
kasiraan	k a s i ɾ a ʔ a n
kasiya	k a s i a
kasiyahan	k a s i a h a n
kaskaho	k a s k a h o
kaskaron	k a s k a ɾ o n
kaskas	k a s k a s
kaskasero	k a s k a s e ɾ o
kasko	k a s k o
kasmura	k a s m u ɾ a ʔ
kaso	k a s o
kason	k a s o n
kasosyo	k a s o s j o
kasoy	k a s o j
kastanet	k a s t a n e t
kastanitas	k a s t a n i t a s
kastaniyas	k a s t a n i a s
kastanyas	k a s t a n j a s
kastanyetas	k a s t a n j e t a s
kastanyo	k a s t a n j o
kastigo	k a s t i ɡ o
kastiguhin	k a s t i ɡ u h i n
kastilyo	k a s t i l j o
kastor	k a s t o ɾ
kastuli	k a s t u l i ʔ
kasukasuan	k a s u ʔ k a s u ʔ a n
kasubha	k a s u b h a ʔ
kasubhain	k a s u b h a ʔ i n
kasukasuan	k a s u k a s u ʔ a n
kasuklamsuklam	k a s u k l a m s u k l a m
kasula	k a s u l a
kasulatan	k a s u l a t a n
kasulinawan	k a s u l i n a w a n
kasultanan	k a s u l t a n a n
kasulya	k a s u l j a
kasumba	k a s u m b a
kasundaluhan	k a s u n d a l u h a n
kasunduan	k a s u n d u ʔ a n
kasunlaran	k a s u n l a ɾ a n
kasunuran	k a s u n u ɾ a n
kasuotan	k a s u ʔ o t a n
kasuutan	k a s u ʔ u t a n
kasuy	k a s u j
kaswalti	k a s w a l t i
kaswaryo	k a s w a ɾ j o
kaswela	k a s w e l a
kasya	k a s j a
kata	k a t a ʔ
katakata	k a t a ʔ k a t a ʔ
kataastaasan	k a t a ʔ a s t a ʔ a s a n
kataba	k a t a b a ʔ
katabi	k a t a b i
kataga	k a t a ɡ a ʔ
katahimikan	k a t a h i m i k a n
katakata	k a t a k a t a ʔ
katakawan	k a t a k a w a n
kataksilan	k a t a k s i l a n
katal	k a t a l
katalaban	k a t a l a b a n
katalaghayan	k a t a l a ɡ h a j a n
katalamitam	k a t a l a m i t a m
katalamitan	k a t a l a m i t a n
katalban	k a t a l b a n
katalepsiya	k a t a l e p s i a
katalinuhan	k a t a l i n u h a n
kataliwasan	k a t a l i w a s a n
katalo	k a t a l o
katalog	k a t a l o ɡ
katalogo	k a t a l o ɡ o
katalona	k a t a l o n a
katalonan	k a t a l o n a n
katalubata	k a t a l u b a t a ʔ
katalunan	k a t a l u n a n
katam	k a t a m
katamaran	k a t a m a ɾ a n
katambukan	k a t a m b u k a n
katan	k a t a n
katang	k a t a ŋ
katangahan	k a t a ŋ a h a n
katanggaptanggap	k a t a ŋ ɡ a p t a ŋ ɡ a p
katangian	k a t a ŋ i ʔ a n
katanungan	k a t a n u ŋ a n
katanway	k a t a n w a j
katapat	k a t a p a t
katapatan	k a t a p a t a n
katapatangasal	k a t a p a t a ŋ ʔ a s a l
katapusan	k a t a p u s a n
katarata	k a t a ɾ a t a
katarungan	k a t a ɾ u ŋ a n
katas	k a t a s
katastrope	k a t a s t ɾ o p e
katatagan	k a t a t a ɡ a n
katauhan	k a t a ʔ u h a n
katawan	k a t a w ʔ a n
katawatawa	k a t a w a t a w a
katawan	k a t a w a n
katay	k a t a j
katayan	k a t a j a n
katayin	k a t a j i n
katayuwat	k a t a j u a t
katedral	k a t e d ɾ a l
kategorikal	k a t e ɡ o ɾ i k a l
kategorya	k a t e ɡ o ɾ j a
katekismo	k a t e k i s m o
katekista	k a t e k i s t a
kateks	k a t e k s
katerba	k a t e ɾ b a
katerpilar	k a t e ɾ p i l a ɾ
katesismo	k a t e s i s m o
katha	k a t h a ʔ
kathambuhay	k a t h a m b u h a j
kathangagham	k a t h a ŋ ʔ a ɡ h a m
kathangisip	k a t h a ŋ ʔ i s i p
kati	k a t i
katibayan	k a t i b a j a n
katig	k a t i ɡ
katigalan	k a t i ɡ a l a n
katigan	k a t i ɡ a n
katiglan	k a t i ɡ l a n
katihan	k a t i h a n
katimawaan	k a t i m a w a ʔ a n
katimon	k a t i m o n
katinisan	k a t i n ʔ i s a n
katinig	k a t i n i ɡ
katinisan	k a t i n i s a n
katipan	k a t i p a n
katipunan	k a t i p u n a n
katisismo	k a t i s i s m o
katiter	k a t i t e ɾ
katitikan	k a t i t i k a n
katitis	k a t i t i s
katiwala	k a t i w a l a ʔ
katiwalian	k a t i w a l i ʔ a n
katiyaw	k a t i a w
katlabi	k a t l a b i ʔ
katleya	k a t l e a
katlo	k a t l o ʔ
katmon	k a t m o n
kato	k a t o ʔ
katog	k a t o ɡ
katok	k a t o k
katokayo	k a t o k a j o
katoliko	k a t o l i k o
katolonan	k a t o l o n a n
katorse	k a t o ɾ s e
katoto	k a t o t o
katotohanan	k a t o t o h a n a n
katrabaho	k a t ɾ a b a h o
katre	k a t ɾ e
katropa	k a t ɾ o p a
katsa	k a t͡ʃ a
katsang	k a t͡ʃ a ŋ
katsarita	k a t͡ʃ a ɾ i t a
katser	k a t͡ʃ e ɾ
katsismisan	k a t͡ʃ i s m i s a n
katsot	k a t͡ʃ o t
katsumba	k a t͡ʃ u m b a
katsurita	k a t͡ʃ u ɾ i t a
katukayo	k a t u k a j o
katulad	k a t u l a d
katulalaan	k a t u l a l a ʔ a n
katulong	k a t u l o ŋ
katulunan	k a t u l u n a n
katumbas	k a t u m b a s
katunayan	k a t u n a j a n
katunggakan	k a t u ŋ ɡ a k a n
katunggali	k a t u ŋ ɡ a l i ʔ
katungkulan	k a t u ŋ k u l a n
katuparan	k a t u p a ɾ a n
katuray	k a t u ɾ a j
katuruan	k a t u ɾ u ʔ a n
katutubo	k a t u t u b o ʔ
katutuyutan	k a t u t u j u t a n
katuwaan	k a t u a ʔ a n
katuwang	k a t u a ŋ
katuwiran	k a t u i ɾ a n
katwiran	k a t w i ɾ a n
katyaw	k a t j a w
kaugnayan	k a ʔ u ɡ n a j a n
kaulapan	k a ʔ u l a p a n
kaulatan	k a ʔ u l a t a n
kaungasan	k a ʔ u ŋ a s a n
kaunlaran	k a ʔ u n l a ɾ a n
kaunti	k a ʔ u n t i ʔ
kauntian	k a ʔ u n t i ʔ a n
kausap	k a ʔ u s a p
kausapin	k a ʔ u s a p i n
kausatibo	k a w s a t i b o
kaututangdila	k a ʔ u t ʔ u t a ŋ d i l a ʔ
kautalan	k a ʔ u t a l a n
kautusan	k a ʔ u t u s a n
kaututangdila	k a ʔ u t u t a ŋ d i l a ʔ
kaw	k a w
kawa	k a w a
kawad	k a w a d
kawakaswakasan	k a w a k a s w a k a s a n
kawal	k a w a l
kawalan	k a w a l ʔ a n
kawalaanghiya	k a w a l a ʔ a ŋ h i a ʔ
kawalan	k a w a l a n
kawalangawa	k a w a l a ŋ ʔ a w a ʔ
kawalanghanggan	k a w a l a ŋ h a ŋ ɡ a n
kawalanghiya	k a w a l a ŋ h i a ʔ
kawalanghiyaan	k a w a l a ŋ h i a ʔ a n
kawalanghiyan	k a w a l a ŋ h i a n
kawalangkasiguraduhan	k a w a l a ŋ k a s i ɡ u ɾ a d u h a n
kawalangkatarungan	k a w a l a ŋ k a t a ɾ u ŋ a n
kawalangpagasa	k a w a l a ŋ p a ɡ ʔ a s a
kawalangtiwala	k a w a l a ŋ t i w a l a ʔ
kawalangtrabaho	k a w a l a ŋ t ɾ a b a h o
kawali	k a w a l i ʔ
kawan	k a w a n
kawanggawa	k a w a ŋ ɡ a w a ʔ
kawanggawa	k a w a ŋ ɡ a w a ʔ
kawani	k a w a n i
kawanihan	k a w a n i h a n
kawasa	k a w a s a ʔ
kawatan	k a w a t a n
kawawa	k a w a w a ʔ
kawawaan	k a w a w a ʔ a n
kaway	k a w a j
kawayan	k a w a j a n
kawayankiling	k a w a j a n k i l i ŋ
kawayanan	k a w a j a n a n
kawboy	k a w b o j
kawi	k a w i ʔ
kawil	k a w i l
kawing	k a w i ŋ
kawingan	k a w i ŋ a n
kawit	k a w i t
kawkaw	k a w k a w
kawkawin	k a w k a w i n
kawsa	k a w s a
kawsatibo	k a w s a t i b o
kay	k a j
kaya	k a j a
kayabangan	k a j a b a ŋ a n
kayabungan	k a j a b u ŋ a n
kayag	k a j a ɡ
kayagangan	k a j a ɡ a ŋ a n
kayagungan	k a j a ɡ u ŋ a n
kayakyakan	k a j a k j a k a n
kayamanan	k a j a m a n a n
kayamuan	k a j a m u ʔ a n
kayan	k a j a n
kayapahan	k a j a p a h a n
kayarian	k a j a ɾ i ʔ a n
kayat	k a j a t
kayawa	k a j a w a ʔ
kayeluhan	k a j e l u h a n
kayeput	k a j e p u t
kayepute	k a j e p u t e
kaykay	k a j k a j
kaymito	k a j m i t o
kayod	k a j o d
kayodkalabaw	k a j o d k a l a b a w
kayog	k a j o ɡ
kaypala	k a j p a l a ʔ
kayrel	k a j ɾ e l
kaysa	k a j s a
kayumanggi	k a j u m a ŋ ɡ i
kayumanis	k a j u m a n i s
kayumkom	k a j u m k o m
kayuran	k a j u ɾ a n
kayuyo	k a j u j o ʔ
kayuyuan	k a j u j u ʔ a n
ke	k e
keha	k e h a
keik	k e j k
kek	k e k
kekok	k e k o k
kekyam	k e k j a m
kelan	k e l a n
keluwa	k e l u a ʔ
kemikal	k e m i k a l
kemistri	k e m i s t ɾ i
kendeng	k e n d e ŋ
kendi	k e n d i
kengkoy	k e ŋ k o j
kenopodyo	k e n o p o d j o
kerelya	k e ɾ e l j a
keri	k e ɾ i
kerida	k e ɾ i d a
kerido	k e ɾ i d o
kerosin	k e ɾ o s i n
kerot	k e ɾ o t
kerots	k e ɾ o t s
kerubin	k e ɾ u b i n
kerubines	k e ɾ u b i n e s
kerwe	k e ɾ w e ʔ
kesa	k e s a
kesehoda	k e s e h o d a
keso	k e s o
kesyo	k e s j o
ket	k e t
ketong	k e t o ŋ
ketongan	k e t o ŋ a n
ketongin	k e t o ŋ i n
ketsap	k e t͡ʃ a p
ketsapan	k e t͡ʃ a p a n
ketungan	k e t u ŋ a n
ketungin	k e t u ŋ i n
key	k e j
keyboardista	k i b o ɾ d i s t a
keyk	k e j k
kiay	k i ʔ a j
kiba	k i b a
kibal	k i b a l
kibit	k i b i t
kibitbalikat	k i b i t b a l i k a t
kibits	k i b i t s
kibitser	k i b i t s e ɾ
kibo	k i b o ʔ
kibord	k i b o ɾ d
kibordista	k i b o ɾ d i s t a
kidkid	k i d k i d
kidlat	k i d l a t
kidnap	k i d n a p
kidnaper	k i d n a p e ɾ
kidsulid	k i d s u l i d
kidya	k i d j a
kihol	k i h o l
kiit	k i ʔ i t
kiki	k i k i ʔ
kikiam	k i k j a m
kikig	k i k i ɡ
kikik	k i k i k
kikil	k i k i l
kikilan	k i k i l a n
kikiligin	k i k i l i ɡ i n
kikinsot	k i k i n s o t
kikiyam	k i k i a m
kila	k i l a
kilabot	k i l a b o t
kilabutan	k i l a b u t a n
kilala	k i l a l a
kilates	k i l a t e s
kilatis	k i l a t i s
kilaw	k i l a w
kilawin	k i l a w i n
kilay	k i l a j
kilikili	k i l i k i l i
kilig	k i l i ɡ
kiligin	k i l i ɡ i n
kilik	k i l i k
kilikili	k i l i k i l i
kilikiti	k i l i k i t i ʔ
kiling	k i l i ŋ
kilingkawayan	k i l i ŋ k a w a j a n
kiliti	k i l i t i ʔ
kilitiin	k i l i t i ʔ i n
kilitis	k i l i t i s
kilo	k i l o ʔ
kilometrahe	k i l o m e t ɾ a h e
kilos	k i l o s
kilosprotesta	k i l o s p ɾ o t e s t a
kilusan	k i l u s a n
kiluwa	k i l u a ʔ
kilyawan	k i l j a w a n
kima	k i m a ʔ
kimaw	k i m a w
kimi	k i m i ʔ
kimika	k i m i k a
kimiko	k i m i k o
kimkim	k i m k i m
kimona	k i m o n a
kimpal	k i m p a l
kina	k i n a
kinabukasan	k i n a b u k a s a n
kinagabihan	k i n a ɡ a b i h a n
kinahapunan	k i n a h a p u n a n
kinahig	k i n a h i ɡ
kinahinatnan	k i n a h i n a t n a n
kinain	k i n a ʔ i n
kinakapatid	k i n a k a p a t i d
kinakastigo	k i n a k a s t i ɡ o
kinakausap	k i n a k a ʔ u s a p
kinakawayan	k i n a k a w a j a n
kinalabasan	k i n a l a b a s a n
kinalabaw	k i n a l a b a w
kinalabsan	k i n a l a b s a n
kinalaman	k i n a l a m a n
kinalunesan	k i n a l u n e s a n
kinalunisan	k i n a l u n i s a n
kinamiyerkolesan	k i n a m i e ɾ k o l e s a n
kinang	k i n a ŋ
kinasabaduhan	k i n a s a b a d u h a n
kinastigo	k i n a s t i ɡ o
kinatawan	k i n a t a w a n
kinaumagahan	k i n a ʔ u m a ɡ a h a n
kinauukulan	k i n a ʔ u ʔ u k u l a n
kinawayan	k i n a w a j a n
kindat	k i n d a t
kinday	k i n d a j
kinding	k i n d i ŋ
kingke	k i ŋ k e
kinikinita	k i n i k i n i t a
kinig	k i n i ɡ
kinigsipat	k i n i ɡ s i p a t
kinigsulat	k i n i ɡ s u l a t
kinikilig	k i n i k i l i ɡ
kinilig	k i n i l i ɡ
kinina	k i n i n a
kinokonsenti	k i n o k o n s e n t i
kinokontak	k i n o k o n t a k
kinonsenti	k i n o n s e n t i
kinontak	k i n o n t a k
kinse	k i n s e
kinsekinse	k i n s e k i n s e
kinsikinsi	k i n s i k i n s i
kintab	k i n t a b
kintsay	k i n t͡ʃ a j
kinudkod	k i n u d k o d
kinukudkod	k i n u k u d k o d
kinyang	k i n j a ŋ
kinyentos	k i n j e n t o s
kipangkipang	k i p a ŋ k i p a ŋ
kipot	k i p o t
kirat	k i ɾ a t
kiri	k i ɾ i
kirimpot	k i ɾ i m p o t
kirlat	k i ɾ l a t
kiromansiya	k i ɾ o m a n s i a
kiropraktiko	k i ɾ o p ɾ a k t i k o
kirot	k i ɾ o t
kisa	k i s a ʔ
kisame	k i s a m e
kisap	k i s a p
kisapmata	k i s a p m a t a
kisapmata	k i s a p m a t a
kisay	k i s a j
kisig	k i s i ɡ
kiskis	k i s k i s
kislap	k i s l a p
kislot	k i s l o t
kiso	k i s o
kita	k i t a
kitaipon	k i t a ʔ i p o n
kitaypone	k i t a j p o n e
kitdi	k i t d i
kiti	k i t i ʔ
kitikiti	k i t i k i t i
kitib	k i t i b
kitid	k i t i d
kitig	k i t i ɡ
kitikiti	k i t i k i t i
kitil	k i t i l
kitir	k i t i ɾ
kitkit	k i t k i t
kitse	k i t͡ʃ e
kiya	k i a ʔ
kiyakis	k i a k i s
kiyamoy	k i a m o j
kiyampong	k i a m p o ŋ
kiyang	k i a ŋ
kiyapo	k i a p o ʔ
kiyas	k i a s
kiyaw	k i a w
kiyawkiyaw	k i a w k i a w
kiyeme	k i e m e
kiyo	k i o ʔ
kiyosko	k i o s k o
klab	k l a b
klabo	k l a b o
klabos	k l a b o s
klaridad	k l a ɾ i d a d
klarin	k l a ɾ i n
klarinete	k l a ɾ i n e t e
klaripikasyon	k l a ɾ i p i k a s j o n
klaro	k l a ɾ o
klaroskuro	k l a ɾ o s k u ɾ o
klase	k l a s e
klasikal	k l a s i k a l
klasipikasyon	k l a s i p i k a s j o n
klaskard	k l a s k a ɾ d
klasmeyt	k l a s m e j t
klasrum	k l a s ɾ u m
klebe	k l e b e
klerigo	k l e ɾ i ɡ o
klerk	k l e ɾ k
klibe	k l i b e
klima	k l i m a
klinik	k l i n i k
klinika	k l i n i k a
klirans	k l i ɾ a n s
kliyente	k l i e n t e
kliyentela	k l i e n t e l a
klorin	k l o ɾ i n
kloropila	k l o ɾ o p i l a
kloropormo	k l o ɾ o p o ɾ m o
klub	k l u b
ko	k o
koalisyon	k o a l i s j o n
kober	k o b e ɾ
kobra	k o b ɾ a
kobrador	k o b ɾ a d o ɾ
kodak	k o d a k
kodeina	k o d e j n a
kodeyna	k o d e j n a
kodigo	k o d i ɡ o
kodipikasyon	k o d i p i k a s j o n
koed	k o ʔ e d
kognado	k o ɡ n a d o
kok	k o k
kokaina	k o k a ʔ i n a
kokak	k o k a k
kokayna	k o k a j n a
kokomban	k o k o m b a n
kokomband	k o k o m b a n d
kokonsentihin	k o k o n s e n t i h i n
kokontakin	k o k o n t a k i n
kokote	k o k o t e
kokwa	k o k w a
kolado	k o l a d o
kolads	k o l a d s
kolateral	k o l a t e ɾ a l
kolehiyal	k o l e h i a l
kolehiyala	k o l e h i a l a
kolehiyo	k o l e h i o
kolektibo	k o l e k t i b o
kolera	k o l e ɾ a
koles	k o l e s
kolesmaluko	k o l e s m a l u k o
kolestalano	k o l e s t a l a n o
kolesterol	k o l e s t e ɾ o l
kolget	k o l ɡ e t
koliplawer	k o l i p l a w e ɾ
koliplor	k o l i p l o ɾ
koliplower	k o l i p l o e ɾ
kolis	k o l i s
kolismaluko	k o l i s m a l u k o
kolitis	k o l i t i s
kolmilyo	k o l m i l j o
kolokyo	k o l o k j o
kolokyum	k o l o k j u m
kolon	k o l o n
kolongkolong	k o l o ŋ k o l o ŋ
kolonia	k o l o n j a
kolonisasyon	k o l o n i s a s j o n
kolonya	k o l o n j a
kolonyalismo	k o l o n j a l i s m o
kolor	k o l o ɾ
koloran	k o l o ɾ a n
kolorete	k o l o ɾ e t e
kolorum	k o l o ɾ u m
kolum	k o l u m
kolumnista	k o l u m n i s t a
kolyarin	k o l j a ɾ i n
komadre	k o m a d ɾ e
komadrona	k o m a d ɾ o n a
komandante	k o m a n d a n t e
komander	k o m a n d e ɾ
komang	k o m a ŋ
kombensiyon	k o m b e n s i o n
kombensyon	k o m b e n s j o n
kombenyente	k o m b e n j e n t e
kombinasyon	k o m b i n a s j o n
kombinyente	k o m b i n j e n t e
kombo	k o m b o
komboy	k o m b o j
kombulsiyon	k o m b u l s i o n
kombulsyon	k o m b u l s j o n
komedya	k o m e d j a
komedyahan	k o m e d j a h a n
komedyante	k o m e d j a n t e
komemorasyon	k o m e m o ɾ a s j o n
komentador	k o m e n t a d o ɾ
komentarista	k o m e n t a ɾ i s t a
komentaryo	k o m e n t a ɾ j o
komento	k o m e n t o
komersiyal	k o m e ɾ s i a l
komersiyalisasyon	k o m e ɾ s i a l i s a s j o n
komersiyante	k o m e ɾ s i a n t e
komersiyo	k o m e ɾ s i o
komersyo	k o m e ɾ s j o
kometa	k o m e t a
komikero	k o m i k e ɾ o
komiks	k o m i k s
komisyon	k o m i s j o n
komisyonado	k o m i s j o n a d o
komisyoner	k o m i s j o n e ɾ
komite	k o m i t e
komodipikasyon	k o m o d i p i k a s j o n
komodoro	k o m o d o ɾ o
komonwels	k o m o n w e l s
komonwelt	k o m o n w e l t
kompadre	k o m p a d ɾ e
kompanya	k o m p a n j a
kompartment	k o m p a ɾ t m e n t
kompas	k o m p a s
kompensasyon	k o m p e n s a s j o n
kompetisyon	k o m p e t i s j o n
kompidante	k o m p i d a n t e
kompiyuter	k o m p i u t e ɾ
kompiyuteran	k o m p i u t e ɾ a n
kompiyuterisado	k o m p i u t e ɾ i s a d o
kompleanyo	k o m p l e a n j o
kompleto	k o m p l e t o
komplikado	k o m p l i k a d o
komplikasyon	k o m p l i k a s j o n
kompone	k o m p o n e
komportable	k o m p o ɾ t a b l e
komposer	k o m p o s e ɾ
komposisyon	k o m p o s i s j o n
kompositor	k o m p o s i t o ɾ
komprehensibo	k o m p ɾ e h e n s i b o
komprehensiyon	k o m p ɾ e h e n s i o n
komprehensyon	k o m p ɾ e h e n s j o n
komprensibo	k o m p ɾ e n s i b o
komprensiyon	k o m p ɾ e n s i o n
komprensyon	k o m p ɾ e n s j o n
kompresor	k o m p ɾ e s o ɾ
kompromiso	k o m p ɾ o m i s o
komprontasyon	k o m p ɾ o n t a s j o n
kompulsaryo	k o m p u l s a ɾ j o
kompulsoryo	k o m p u l s o ɾ j o
komputerisado	k o m p u t e ɾ i s a d o
kompuwesto	k o m p u e s t o
kompyuter	k o m p j u t e ɾ
kompyuteran	k o m p j u t e ɾ a n
kompyuterisado	k o m p j u t e ɾ i s a d o
komunales	k o m u n a l e s
komunidad	k o m u n i d a d
komunikasyon	k o m u n i k a s j o n
komunismo	k o m u n i s m o
komunista	k o m u n i s t a
komunyon	k o m u n j o n
komyuniti	k o m j u n i t i
komyuter	k o m j u t e ɾ
konde	k o n d e
kondena	k o n d e n a
kondenahin	k o n d e n a h i n
kondensada	k o n d e n s a d a
kondensador	k o n d e n s a d o ɾ
kondesa	k o n d e s a
kondimento	k o n d i m e n t o
kondisyon	k o n d i s j o n
kondisyoner	k o n d i s j o n e ɾ
kondo	k o n d o
kondolensiya	k o n d o l e n s i a
kondom	k o n d o m
kondominyum	k o n d o m i n j u m
konduktor	k o n d u k t o ɾ
koneho	k o n e h o
konek	k o n e k
koneksiyon	k o n e k s i o n
koneksyon	k o n e k s j o n
konekta	k o n e k t a
konektado	k o n e k t a d o
konggresista	k o ŋ ɡ ɾ e s i s t a
konggreso	k o ŋ ɡ ɾ e s o
konghuga	k o ŋ h u ɡ a
kongklabe	k o ŋ k l a b e
kongkreto	k o ŋ k ɾ e t o
kongratulasyon	k o ŋ ɡ ɾ a t u l a s j o n
kongregasyon	k o ŋ ɡ ɾ e ɡ a s j o n
kongresista	k o ŋ ɡ ɾ e s i s t a
kongreso	k o ŋ ɡ ɾ e s o
konhuga	k o n h u ɡ a
konhuntibitis	k o n h u n t i b i t i s
kono	k o n o
konotasyon	k o n o t a s j o n
konsehal	k o n s e h a l
konsehala	k o n s e h a l a
konseho	k o n s e h o
konsensiya	k o n s e n s i a
konsensya	k o n s e n s j a
konsenti	k o n s e n t i
konsentidor	k o n s e n t i d o ɾ
konsentidora	k o n s e n t i d o ɾ a
konsentihin	k o n s e n t i h i n
konsento	k o n s e n t o
konsentrasyon	k o n s e n t ɾ a s j o n
konsepsiyon	k o n s e p s i o n
konsepto	k o n s e p t o
konserbatibo	k o n s e ɾ b a t i b o
konserbatismo	k o n s e ɾ b a t i s m o
konserbatoryo	k o n s e ɾ b a t o ɾ j o
konsidera	k o n s i d e ɾ a
konsiderable	k o n s i d e ɾ a b l e
konsiderahin	k o n s i d e ɾ a h i n
konsiderasyon	k o n s i d e ɾ a s j o n
konsistent	k o n s i s t e n t
konsiyensiya	k o n s i e n s i a
konsiyerto	k o n s i e ɾ t o
konsiyumer	k o n s i u m e ɾ
konsolasyon	k o n s o l a s j o n
konsonante	k o n s o n a n t e
konsorsiyum	k o n s o ɾ s i u m
konsorsyum	k o n s o ɾ s j u m
konsorte	k o n s o ɾ t e
konstable	k o n s t a b l e
konstabularyo	k o n s t a b u l a ɾ j o
konstelasyon	k o n s t e l a s j o n
konstitusyon	k o n s t i t u s j o n
konstituwente	k o n s t i t u e n t e
konstituyente	k o n s t i t u j e n t e
konstruksiyon	k o n s t ɾ u k s i o n
konstruktibismo	k o n s t ɾ u k t i b i s m o
konsul	k o n s u l
konsulado	k o n s u l a d o
konsulta	k o n s u l t a
konsultant	k o n s u l t a n t
konsultasiyon	k o n s u l t a s i o n
konsultasyon	k o n s u l t a s j o n
konsumer	k o n s u m e ɾ
konsumido	k o n s u m i d o
konsumisyon	k o n s u m i s j o n
konsumo	k o n s u m o
konsumpsiyon	k o n s u m p s i o n
konsumpsyon	k o n s u m p s j o n
konsursiyom	k o n s u ɾ s i o m
konsursyom	k o n s u ɾ s j o m
konsuwelo	k o n s u e l o
konsyensya	k o n s j e n s j a
konsyerto	k o n s j e ɾ t o
konsyumer	k o n s j u m e ɾ
kontador	k o n t a d o ɾ
kontak	k o n t a k
kontakin	k o n t a k i n
konteksto	k o n t e k s t o
kontekstuwal	k o n t e k s t u a l
kontekstwal	k o n t e k s t w a l
kontemporaneo	k o n t e m p o ɾ a n e o
kontemporanyo	k o n t e m p o ɾ a n j o
kontemporaryo	k o n t e m p o ɾ a ɾ j o
kontento	k o n t e n t o
kontes	k o n t e s
kontesera	k o n t e s e ɾ a
kontesero	k o n t e s e ɾ o
kontest	k o n t e s t
kontestant	k o n t e s t a n t
konti	k o n t i ʔ
kontinente	k o n t i n e n t e
kontorsiyonista	k o n t o ɾ s i o n i s t a
kontra	k o n t ɾ a
kontraalmirante	k o n t ɾ a ʔ a l m i ɾ a n t e
kontraeroplano	k o n t ɾ a ʔ e ɾ o p l a n o
kontragahum	k o n t ɾ a ɡ a h u m
kontrakasukdulan	k o n t ɾ a k a s u k d u l a n
kontrareklamo	k o n t ɾ a ɾ e k l a m o
kontrasalaysay	k o n t ɾ a s a l a j s a j
kontraalmirante	k o n t ɾ a ʔ a l m i ɾ a n t e
kontrabaho	k o n t ɾ a b a h o
kontrabando	k o n t ɾ a b a n d o
kontrabida	k o n t ɾ a b i d a
kontragahum	k o n t ɾ a ɡ a h u m
kontraktor	k o n t ɾ a k t o ɾ
kontrakultura	k o n t ɾ a k u l t u ɾ a
kontralason	k o n t ɾ a l a s o n
kontralmirante	k o n t ɾ a l m i ɾ a n t e
kontras	k o n t ɾ a s
kontrasenyas	k o n t ɾ a s e n j a s
kontrasepsiyon	k o n t ɾ a s e p s i o n
kontrasepsyon	k o n t ɾ a s e p s j o n
kontraseptibo	k o n t ɾ a s e p t i b o
kontrast	k o n t ɾ a s t
kontrata	k o n t ɾ a t a
kontratista	k o n t ɾ a t i s t a
kontribusyon	k o n t ɾ i b u s j o n
kontrobersiya	k o n t ɾ o b e ɾ s i a
kontrobersiyal	k o n t ɾ o b e ɾ s i a l
kontrobersya	k o n t ɾ o b e ɾ s j a
kontrobersyal	k o n t ɾ o b e ɾ s j a l
kontsaba	k o n t͡ʃ a b a
kontsabahan	k o n t͡ʃ a b a h a n
konya	k o n j a
konyak	k o n j a k
kooperasyon	k o ʔ o p e ɾ a s j o n
kooperatiba	k o ʔ o p e ɾ a t i b a
koordinasyon	k o ʔ o ɾ d i n a s j o n
kopal	k o p a l
kopalis	k o p a l i s
kopas	k o p a s
kopirayt	k o p i ɾ a j t
kopo	k o p o
kopomban	k o p o m b a n
kopomband	k o p o m b a n d
kopon	k o p o n
koponan	k o p o n a n
kopra	k o p ɾ a
kopya	k o p j a
kopyahin	k o p j a h i n
kopyur	k o p j u ɾ
koral	k o ɾ a l
korales	k o ɾ a l e s
korap	k o ɾ a p
korapsiyon	k o ɾ a p s i o n
korapsyon	k o ɾ a p s j o n
kordero	k o ɾ d e ɾ o
kordiyon	k o ɾ d i o n
korea	k o ɾ e a
koredor	k o ɾ e d o ɾ
koreksiyonal	k o ɾ e k s i o n a l
koreksyonal	k o ɾ e k s j o n a l
koreo	k o ɾ e o
koreograpiya	k o ɾ e o ɡ ɾ a p i a
koreya	k o ɾ e a
korido	k o ɾ i d o
koridor	k o ɾ i d o ɾ
korista	k o ɾ i s t a
korkor	k o ɾ k o ɾ
korner	k o ɾ n e ɾ
korni	k o ɾ n i
kornik	k o ɾ n i k
koro	k o ɾ o
korola	k o ɾ o l a
korona	k o ɾ o n a
koronahan	k o ɾ o n a h a n
koronel	k o ɾ o n e l
korporal	k o ɾ p o ɾ a l
korporasyon	k o ɾ p o ɾ a s j o n
korse	k o ɾ s e
kort	k o ɾ t
korte	k o ɾ t e
kortesiya	k o ɾ t e s i a
kortina	k o ɾ t i n a
kortosirkuwito	k o ɾ t o s i ɾ k u i t o
kortso	k o ɾ t͡ʃ o
korupsiyon	k o ɾ u p s i o n
korupsyon	k o ɾ u p s j o n
korupto	k o ɾ u p t o
koryente	k o ɾ j e n t e
koryentehin	k o ɾ j e n t e h i n
koryentihin	k o ɾ j e n t i h i n
